page_id,page_title,page_ns,revision_id,timestamp,contributor_id,contributor_name,bytes
2977,|5 Lilys|,0,10650,2015-07-04T16:30:58Z,5905690,|Arelys|,32
1074,|Adiós para siempre|,0,3268,2012-02-06T18:56:02Z,1988476,|Infinitrix|,371
1074,|Adiós para siempre|,0,4503,2012-04-23T22:31:01Z,3461103,|Glenson11|,392
1074,|Adiós para siempre|,0,5100,2012-05-24T23:56:09Z,2207584,|Darkvampira102|,425
3233,|Aeon Lee|,0,11706,2017-06-06T18:31:49Z,5411829,|Miaw~|,512
3233,|Aeon Lee|,0,11707,2017-06-06T18:32:34Z,5411829,|Miaw~|,575
3233,|Aeon Lee|,0,11708,2017-06-06T20:45:15Z,5411829,|Miaw~|,900
3233,|Aeon Lee|,0,11709,2017-06-06T20:45:35Z,5411829,|Miaw~|,900
3233,|Aeon Lee|,0,12594,2018-10-28T08:58:41Z,5411829,|Miaw~|,953
1015,|Aguas termales americanas|,0,3152,2012-01-26T14:51:30Z,2207584,|Darkvampira102|,405
1015,|Aguas termales americanas|,0,4470,2012-04-23T22:04:57Z,3461103,|Glenson11|,426
1015,|Aguas termales americanas|,0,5066,2012-05-24T23:42:06Z,2207584,|Darkvampira102|,459
3452,|Aiyomi|,0,12841,2019-01-14T17:12:42Z,5411829,|Miaw~|,837
3236,|Aizen Myooh|,0,11719,2017-06-06T22:15:52Z,5411829,|Miaw~|,462
3236,|Aizen Myooh|,0,11720,2017-06-06T22:16:30Z,5411829,|Miaw~|,472
3236,|Aizen Myooh|,0,11721,2017-06-06T22:17:43Z,5411829,|Miaw~|,630
3236,|Aizen Myooh|,0,11722,2017-06-06T22:18:08Z,5411829,|Miaw~|,686
3236,|Aizen Myooh|,0,11724,2017-06-06T22:18:44Z,5411829,|Miaw~|,684
2071,|Alas de Plata|,0,7089,2013-01-31T20:42:57Z,4671607,|Sofiaa Bulnes|,42
2071,|Alas de Plata|,0,10328,2015-04-05T22:52:40Z,5905690,|Arelys|,82
2071,|Alas de Plata|,0,11059,2016-02-19T20:02:57Z,4473222,|BlackQuimera08|,77
2798,|Alumi|,0,9958,2014-10-11T21:24:52Z,3035808,|Saga de Leo|,33
2798,|Alumi|,0,10329,2015-04-05T22:56:34Z,5905690,|Arelys|,95
1820,|Alumi Niumbirch|,0,6128,2012-10-05T17:59:58Z,3035808,|Saga de Leo|,25
1820,|Alumi Niumbirch|,0,6563,2013-01-12T02:52:32Z,4671607,|Sofiaa Bulnes|,2823
1820,|Alumi Niumbirch|,0,6565,2013-01-12T02:55:32Z,4671607,|Sofiaa Bulnes|,2823
1820,|Alumi Niumbirch|,0,6567,2013-01-12T03:06:43Z,4671607,|Sofiaa Bulnes|,4269
1820,|Alumi Niumbirch|,0,6569,2013-01-12T03:07:48Z,4671607,|Sofiaa Bulnes|,4276
1820,|Alumi Niumbirch|,0,6570,2013-01-12T03:19:53Z,4671607,|Sofiaa Bulnes|,4388
1820,|Alumi Niumbirch|,0,6571,2013-01-12T03:21:13Z,4671607,|Sofiaa Bulnes|,4401
1820,|Alumi Niumbirch|,0,6573,2013-01-12T03:34:45Z,4671607,|Sofiaa Bulnes|,4416
1820,|Alumi Niumbirch|,0,6596,2013-01-15T02:05:58Z,5411829,|Miaw~|,4412
1820,|Alumi Niumbirch|,0,6685,2013-01-17T00:46:29Z,4671607,|Sofiaa Bulnes|,4425
1820,|Alumi Niumbirch|,0,6689,2013-01-17T01:01:31Z,4671607,|Sofiaa Bulnes|,4471
1820,|Alumi Niumbirch|,0,6722,2013-01-17T04:36:03Z,190.45.126.194,Anonymous,4470
1820,|Alumi Niumbirch|,0,6741,2013-01-18T02:02:58Z,3035808,|Saga de Leo|,4479
1820,|Alumi Niumbirch|,0,6827,2013-01-22T13:13:31Z,190.45.126.194,Anonymous,6050
1820,|Alumi Niumbirch|,0,7096,2013-01-31T21:27:34Z,4671607,|Sofiaa Bulnes|,6046
1820,|Alumi Niumbirch|,0,7340,2013-02-03T21:02:09Z,6270666,|JulioGT|,6038
1820,|Alumi Niumbirch|,0,7341,2013-02-03T21:03:05Z,6270666,|JulioGT|,6038
1820,|Alumi Niumbirch|,0,7342,2013-02-03T21:04:11Z,6270666,|JulioGT|,6060
1820,|Alumi Niumbirch|,0,7343,2013-02-03T21:04:18Z,6270666,|JulioGT|,6088
1820,|Alumi Niumbirch|,0,7344,2013-02-03T21:04:28Z,6270666,|JulioGT|,6109
1820,|Alumi Niumbirch|,0,7345,2013-02-03T21:04:36Z,6270666,|JulioGT|,6145
1820,|Alumi Niumbirch|,0,7346,2013-02-03T21:04:45Z,6270666,|JulioGT|,6190
1820,|Alumi Niumbirch|,0,7347,2013-02-03T21:05:14Z,6270666,|JulioGT|,6223
1820,|Alumi Niumbirch|,0,7348,2013-02-03T21:07:18Z,6270666,|JulioGT|,6242
1820,|Alumi Niumbirch|,0,7349,2013-02-03T21:07:48Z,6270666,|JulioGT|,6257
1820,|Alumi Niumbirch|,0,7408,2013-02-03T21:28:45Z,5411829,|Miaw~|,6265
1820,|Alumi Niumbirch|,0,7447,2013-02-04T16:44:24Z,190.45.126.194,Anonymous,6230
1820,|Alumi Niumbirch|,0,7452,2013-02-04T19:52:35Z,5411829,|Miaw~|,6227
1820,|Alumi Niumbirch|,0,7460,2013-02-06T15:59:24Z,190.45.126.194,Anonymous,6214
1820,|Alumi Niumbirch|,0,7606,2013-03-04T17:22:19Z,190.45.126.194,Anonymous,6213
1820,|Alumi Niumbirch|,0,7633,2013-03-31T00:36:12Z,190.54.129.247,Anonymous,6216
1820,|Alumi Niumbirch|,0,7634,2013-03-31T00:38:18Z,190.54.129.247,Anonymous,6224
1820,|Alumi Niumbirch|,0,8107,2013-08-12T16:51:59Z,190.36.148.39,Anonymous,6262
1820,|Alumi Niumbirch|,0,8108,2013-08-12T16:53:40Z,190.36.148.39,Anonymous,6262
1820,|Alumi Niumbirch|,0,8109,2013-08-12T16:54:14Z,190.36.148.39,Anonymous,6263
1820,|Alumi Niumbirch|,0,8111,2013-08-12T16:56:13Z,190.36.148.39,Anonymous,6261
1820,|Alumi Niumbirch|,0,8112,2013-08-12T16:56:55Z,190.36.148.39,Anonymous,6262
1820,|Alumi Niumbirch|,0,8113,2013-08-12T21:51:35Z,5411829,|Miaw~|,6261
1820,|Alumi Niumbirch|,0,8334,2013-10-20T16:44:23Z,24073815,|Sofiaaaaa|,6263
1820,|Alumi Niumbirch|,0,8374,2013-10-22T22:16:23Z,24074937,|Sdasdasda|,6522
1820,|Alumi Niumbirch|,0,8425,2013-11-07T04:11:33Z,24118894,|Lra1415|,6599
1820,|Alumi Niumbirch|,0,8549,2014-02-12T03:22:20Z,3035808,|Saga de Leo|,6625
1820,|Alumi Niumbirch|,0,8561,2014-02-16T04:42:07Z,3035808,|Saga de Leo|,6629
1820,|Alumi Niumbirch|,0,8803,2014-04-04T20:01:02Z,24768196,|HaoAsakura146|,6728
1820,|Alumi Niumbirch|,0,8826,2014-04-06T20:57:20Z,24768196,|HaoAsakura146|,6833
1820,|Alumi Niumbirch|,0,8825,2014-04-06T20:57:39Z,24768196,|HaoAsakura146|,6834
1820,|Alumi Niumbirch|,0,8828,2014-04-06T20:59:41Z,24768196,|HaoAsakura146|,6844
1820,|Alumi Niumbirch|,0,8881,2014-04-07T13:55:27Z,5411829,|Miaw~|,6844
1820,|Alumi Niumbirch|,0,8942,2014-04-21T21:31:32Z,24835746,|Flor Carolina Rodriguez Bejarano|,6870
1820,|Alumi Niumbirch|,0,8954,2014-04-22T01:15:23Z,5411829,|Miaw~|,6844
1820,|Alumi Niumbirch|,0,9044,2014-05-29T15:45:36Z,187.144.86.236,Anonymous,6844
1820,|Alumi Niumbirch|,0,9157,2014-07-16T04:36:15Z,201.214.73.136,Anonymous,6906
1820,|Alumi Niumbirch|,0,9175,2014-07-16T06:01:41Z,24074937,|Sdasdasda|,6906
1820,|Alumi Niumbirch|,0,9176,2014-07-16T06:05:20Z,24074937,|Sdasdasda|,7013
1820,|Alumi Niumbirch|,0,9460,2014-07-24T04:18:20Z,25217977,|Kamiialejandrap|,7057
1820,|Alumi Niumbirch|,0,9464,2014-07-24T10:32:22Z,5411829,|Miaw~|,7013
1820,|Alumi Niumbirch|,0,9593,2014-08-14T02:21:32Z,190.118.31.155,Anonymous,7012
1820,|Alumi Niumbirch|,0,9594,2014-08-14T10:13:55Z,5411829,|Miaw~|,7013
1820,|Alumi Niumbirch|,0,9649,2014-09-12T22:47:11Z,201.214.73.136,Anonymous,6993
1820,|Alumi Niumbirch|,0,9651,2014-09-12T22:50:13Z,201.214.73.136,Anonymous,7020
1820,|Alumi Niumbirch|,0,9660,2014-09-12T23:43:22Z,201.214.73.136,Anonymous,7020
1820,|Alumi Niumbirch|,0,9689,2014-09-13T05:32:03Z,24074937,|Sdasdasda|,7050
1820,|Alumi Niumbirch|,0,9955,2014-10-11T21:23:26Z,3035808,|Saga de Leo|,7050
1820,|Alumi Niumbirch|,0,9957,2014-10-11T21:24:51Z,3035808,|Saga de Leo|,7050
1820,|Alumi Niumbirch|,0,10297,2015-04-05T22:23:20Z,5905690,|Arelys|,7029
1820,|Alumi Niumbirch|,0,10450,2015-05-18T18:41:32Z,1436750,|Don groud|,7027
1820,|Alumi Niumbirch|,0,10451,2015-05-18T18:42:27Z,1436750,|Don groud|,7029
1820,|Alumi Niumbirch|,0,10763,2015-07-05T23:12:42Z,5905690,|Arelys|,6958
1820,|Alumi Niumbirch|,0,10960,2015-12-12T22:06:05Z,185.13.202.168,Anonymous,7110
1820,|Alumi Niumbirch|,0,10961,2015-12-12T22:08:51Z,185.13.202.168,Anonymous,7245
1820,|Alumi Niumbirch|,0,10962,2015-12-12T22:09:15Z,185.13.202.168,Anonymous,7224
1820,|Alumi Niumbirch|,0,10964,2015-12-21T18:24:54Z,5905690,|Arelys|,7206
1820,|Alumi Niumbirch|,0,11793,2017-06-14T10:37:18Z,5411829,|Miaw~|,7207
1820,|Alumi Niumbirch|,0,11847,2017-06-16T16:35:13Z,5411829,|Miaw~|,7200
1820,|Alumi Niumbirch|,0,11997,2017-08-10T15:20:00Z,32822626,|Zakura07|,7199
1820,|Alumi Niumbirch|,0,11999,2017-08-11T00:26:11Z,5411829,|Miaw~|,7204
1820,|Alumi Niumbirch|,0,12000,2017-08-14T23:07:28Z,32822626,|Zakura07|,7211
1820,|Alumi Niumbirch|,0,12024,2017-08-31T17:57:50Z,32999638,|Valeriamed|,7208
1820,|Alumi Niumbirch|,0,12026,2017-08-31T18:29:51Z,5411829,|Miaw~|,7201
1820,|Alumi Niumbirch|,0,12129,2018-01-09T12:20:25Z,5411829,|Miaw~|,7189
1820,|Alumi Niumbirch|,0,12132,2018-02-15T05:24:50Z,181.160.174.38,Anonymous,7190
1820,|Alumi Niumbirch|,0,12143,2018-04-25T17:25:37Z,179.5.54.101,Anonymous,7190
1820,|Alumi Niumbirch|,0,12152,2018-06-11T02:37:02Z,4627069,|Carla.Fuusuke|,7252
